 ,Area,Mean,Min,Max
949,106,255,255,255
950,97,255,255,255
951,170,255,255,255
952,106,255,255,255
953,103,255,255,255
954,112,255,255,255
955,103,255,255,255
956,44,255,255,255
957,75,255,255,255
958,144,255,255,255
959,95,255,255,255
960,84,255,255,255
961,79,255,255,255
962,122,255,255,255
963,84,255,255,255
964,141,255,255,255
965,69,255,255,255
966,135,255,255,255
967,127,255,255,255
968,163,255,255,255
969,82,255,255,255
970,162,255,255,255
971,68,255,255,255
972,95,255,255,255
973,140,255,255,255
974,91,255,255,255
975,78,255,255,255
976,80,255,255,255
977,84,255,255,255
978,96,255,255,255
979,113,255,255,255
980,104,255,255,255
981,124,255,255,255
982,153,255,255,255
983,95,255,255,255
984,78,255,255,255
985,69,255,255,255
986,37,255,255,255
987,95,255,255,255
988,171,255,255,255
989,99,255,255,255
990,61,255,255,255
991,172,255,255,255
992,88,255,255,255
993,101,255,255,255
994,143,255,255,255
995,121,255,255,255
996,133,255,255,255
997,84,255,255,255
998,94,255,255,255
999,60,255,255,255
1000,107,255,255,255
1001,100,255,255,255
1002,96,255,255,255
1003,177,255,255,255
1004,89,255,255,255
1005,83,255,255,255
1006,114,255,255,255
1007,76,255,255,255
1008,98,255,255,255
1009,91,255,255,255
1010,100,255,255,255
1011,138,255,255,255
1012,77,255,255,255
1013,171,255,255,255
1014,58,255,255,255
1015,122,255,255,255
1016,71,255,255,255
1017,107,255,255,255
1018,130,255,255,255
1019,108,255,255,255
1020,77,255,255,255
1021,69,255,255,255
1022,88,255,255,255
1023,92,255,255,255
1024,82,255,255,255
1025,84,255,255,255
1026,93,255,255,255
1027,121,255,255,255
1028,81,255,255,255
1029,152,255,255,255
1030,155,255,255,255
1031,163,255,255,255
1032,95,255,255,255
1033,67,255,255,255
1034,109,255,255,255
1035,93,255,255,255
1036,76,255,255,255
1037,122,255,255,255
1038,114,255,255,255
1039,98,255,255,255
1040,62,255,255,255
1041,68,255,255,255
1042,61,255,255,255
1043,118,255,255,255
1044,114,255,255,255
1045,104,255,255,255
1046,82,255,255,255
1047,66,255,255,255
1048,59,255,255,255
1049,83,255,255,255
1050,85,255,255,255
1051,164,255,255,255
1052,116,255,255,255
1053,99,255,255,255
1054,105,255,255,255
1055,100,255,255,255
1056,103,255,255,255
1057,100,255,255,255
1058,112,255,255,255
1059,93,255,255,255
1060,67,255,255,255
1061,92,255,255,255
1062,172,255,255,255
1063,68,255,255,255
1064,82,255,255,255
1065,58,255,255,255
1066,68,255,255,255
1067,76,255,255,255
1068,98,255,255,255
1069,71,255,255,255
1070,162,255,255,255
1071,144,255,255,255
1072,81,255,255,255
1073,130,255,255,255
1074,101,255,255,255
1075,167,255,255,255
1076,110,255,255,255
1077,69,255,255,255
1078,102,255,255,255
1079,96,255,255,255
1080,150,255,255,255
1081,69,255,255,255
1082,125,255,255,255
1083,134,255,255,255
1084,100,255,255,255
1085,69,255,255,255
1086,83,255,255,255
1087,86,255,255,255
1088,116,255,255,255
1089,73,255,255,255
1090,70,255,255,255
1091,131,255,255,255
1092,68,255,255,255
1093,150,255,255,255
1094,128,255,255,255
1095,99,255,255,255
1096,48,255,255,255
1097,124,255,255,255
1098,98,255,255,255
1099,114,255,255,255
1100,58,255,255,255
1101,175,255,255,255
1102,129,255,255,255
1103,93,255,255,255
1104,83,255,255,255
1105,154,255,255,255
1106,135,255,255,255
1107,80,255,255,255
1108,144,255,255,255
1109,134,255,255,255
1110,159,255,255,255
1111,96,255,255,255
1112,81,255,255,255
1113,98,255,255,255
1114,70,255,255,255
1115,60,255,255,255
1116,128,255,255,255
1117,95,255,255,255
1118,181,255,255,255
1119,134,255,255,255
1120,86,255,255,255
1121,91,255,255,255
1122,102,255,255,255
1123,166,255,255,255
1124,133,255,255,255
1125,81,255,255,255
1126,128,255,255,255
1127,111,255,255,255
1128,150,255,255,255
1129,107,255,255,255
1130,74,255,255,255
1131,108,255,255,255
1132,141,255,255,255
1133,74,255,255,255
1134,111,255,255,255
1135,66,255,255,255
1136,144,255,255,255
1137,122,255,255,255
1138,62,255,255,255
1139,76,255,255,255
1140,89,255,255,255
1141,52,255,255,255
1142,136,255,255,255
1143,114,255,255,255
1144,100,255,255,255
1145,188,255,255,255
1146,138,255,255,255
1147,79,255,255,255
1148,86,255,255,255
1149,109,255,255,255
1150,121,255,255,255
1151,146,255,255,255
1152,92,255,255,255
1153,135,255,255,255
1154,84,255,255,255
1155,180,255,255,255
1156,116,255,255,255
1157,70,255,255,255
1158,57,255,255,255
1159,78,255,255,255
